英単語,意味,一般的な意味,例文
overcome,〜に打ち勝つ,～に打ち勝つ、～を克服する、～を参らせる,Our team managed to overcome the tough defense and score the winning points. （私たちのチームは厳しいディフェンスに打ち勝ち、決勝点を決めることができた。）
conclude,結論を下す,～と結論づける、～を締めくくる、～を結ぶ,We concluded the basketball game with a dramatic buzzer-beater. （私たちは劇的なブザービーターでバスケットボールの試合を締めくくりました。）
confirm,確かめる,～を確認する、～を確かめる、～を裏付ける,Please confirm the starting lineup for today's basketball game. （今日のバスケットボールの試合のスタメンを確認してください。）
approximately,およそ,およそ、約、ほぼ,There are approximately five minutes left in the fourth quarter. （第4クォーターの残り時間は約5分です。）
resist,抵抗する,～に抵抗する、～に耐える、～を我慢する,It was difficult to resist the pressure of the opponent's strong defense. （相手の強いディフェンスのプレッシャーに耐えるのは難しかった。）
breed,飼育する,～を繁殖させる、～を引き起こす、品種,Hard practice breeds strong teamwork on the basketball court. （厳しい練習はバスケットボールコート上での強いチームワークを生み出します。）
colleague,同僚,同僚,My colleague and I coach the high school basketball team together. （私と同僚は一緒に高校のバスケットボールチームを指導しています。）
fond,好きで,～が好きで、好意的な、甘い,He is fond of practicing basketball with his teammates after school. （彼は放課後にチームメイトとバスケットボールの練習をするのが好きです。）
intend,つもりである,～するつもりである、～を意図する,The coach intends to change our strategy for the next basketball game. （コーチは次のバスケットボールの試合のために私たちの戦略を変えるつもりです。）
vital,極めて重要な,極めて重要な、不可欠な、生命にかかわる,He played a vital role in the basketball team's victory. （彼はバスケットボールチームの勝利において極めて重要な役割を果たしました。）
persuade,説得する,～を説得する、～を納得させる,The coach tried to persuade the players to focus on their defense during the game. （コーチは試合中、選手たちにディフェンスに集中するよう説得しようとした。）
assignment,宿題、割り当て,宿題・課題、割り当て、任命,The coach gave each player a defensive assignment before the big game. （監督は大切な試合の前に、各選手に守備の役割を与えました。）
pour,注ぐ,注ぐ、流れる、(雨が)激しく降る,He poured in 30 points to lead his team to victory. （彼はチームを勝利に導くために30得点を叩き出した。）
predict,予言する,～を予測する、～を予言する,It is hard to predict which basketball team will win the championship this year. （どのバスケットボールチームが今年優勝するかを予測するのは難しい。）
disturb,乱す,～を邪魔する、～を乱す、～を不安にさせる,The crowd's loud cheering did not disturb his concentration during the free throw. （大歓声もフリースロー中の彼の集中を乱すことはなかった。）
calculate,計算する,計算する、見積もる、予測する,We need to calculate how many points we must score to win the basketball game. （バスケットボールの試合に勝つために何点取る必要があるか計算しなければならない。）
awful,ひどい,ひどい、恐ろしい、嫌な,We lost the game because of our awful defense in the final quarter. （最終クォーターでの私たちのひどい守備のせいで、試合に敗れました。）
largely,主として,主に、大部分は,Their team's success was largely due to their strong defense. （彼らのチームの成功は、主に強力なディフェンスによるものでした。）
priority,優先,優先事項、優先（権）、優先順位,Defense should be our top priority in the next basketball game. （次のバスケットボールの試合では、ディフェンスを最優先事項にすべきです。）
proper,適切な、固有の,適切な、固有の、正しい,It is important to maintain proper shooting form during the game. （試合中に適切なシュートフォームを維持することが重要です。）
slight,わずかな,わずかな、かすかな、少しの,He made a slight adjustment to his shooting form. （彼はシュートフォームをわずかに修正しました。）
rid,取り除く,～を取り除く、～を処分する、～を排除する,The coach told us to get rid of careless turnovers. （コーチは私たちに不注意なターンオーバーをなくすように言いました。）
entirely,全く,完全に、全く、すっかり,Our strategy for the next basketball game is entirely different from the last one. （私たちの次のバスケットボールの試合の戦略は、前回のものとは完全に異なります。）
opponent,相手,相手、対戦相手、反対者,Our team practiced hard to defeat our strong opponent in the next match. （私たちのチームは次の試合で強い対戦相手を倒すために猛練習しました。）
refuse,拒絶する,拒否する、断る、辞退する,The player refused to accept the referee's decision. （その選手は審判の判定を受け入れることを拒否した。）
frighten,怖がらせる,～を怖がらせる、～を脅かす,The opponent's star player tried to frighten us with his powerful dunks. （相手のスター選手は強力なダンクシュートで私たちを脅かそうとした。）
grant,許可する,～を与える、～を認める、助成金,The coach granted him a spot on the starting lineup. （コーチは彼にスタメンの座を与えました。）
concentrate,集中する,集中する、専念する、集まる,He tried to concentrate on the free throw during the basketball game. （彼はバスケットボールの試合中、フリースローに集中しようとした。）
ancestor,先祖,祖先、先祖,His ancestor was a famous basketball player in the 1950s. （彼の先祖は1950年代の有名なバスケットボール選手でした。）
proportion,割合,割合、比率、比例,A large proportion of his successful shots were three-pointers. （彼の成功したシュートの大きな割合が3ポイントシュートでした。）
wave,振る,波、手を振る、押し寄せる,The crowd began to wave their hands to cheer for our basketball team. （観客は私たちのバスケットボールチームを応援するために手を振り始めました。）
stable,安定した,安定した、不変の、馬小屋,The player maintained a stable performance throughout the basketball tournament. （その選手はバスケットボールの大会を通じて安定したパフォーマンスを維持しました。）
via,〜経由で,～を経由して、～によって、～を通じて,He scored two points via a great pass from the point guard. （彼はポイントガードからの素晴らしいパスを経由して2点を入れた。）
insult,侮辱(する),～を侮辱する、侮辱,Saying bad things to the referee is a serious insult in basketball. （審判に悪口を言うことは、バスケットボールにおいて重大な侮辱です。）
urge,駆り立てる,～を強く促す、～に強く勧める、衝動,The coach urged the players to focus on defense in the fourth quarter. （監督は選手たちに第4クォーターで守備に集中するよう強く促した。）
sympathy,同情、同感,同情、共感、思いやり,We felt deep sympathy for the player who was injured during the basketball game. （私たちはバスケットボールの試合中に負傷した選手に強い同情を感じました。）
witness,目撃者、証人,目撃者、証人、～を目撃する,Thousands of fans came to witness his incredible game-winning shot. （何千人ものファンが彼の素晴らしい決勝シュートを目撃するために集まりました。）
steady,しっかりした,安定した、絶え間ない、一定の,His steady shooting helped the basketball team win the game. （彼の安定したシュートが、バスケットボールチームの勝利に貢献しました。）
generous,寛大な,寛大な、気前のよい、豊富な,"He made a generous pass to his teammate, allowing him to score easily. （彼はチームメイトに惜しみないパスを出し、簡単に得点させました。）"
absorb,吸収する,～を吸収する、～を熱中させる、～を理解する,A young player tried to absorb all the advice from the basketball coach. （若い選手はバスケットボールのコーチからのすべてのアドバイスを吸収しようとしました。）
crucial,決定的な、重大な,決定的な、極めて重要な、重大な,Making this free throw is crucial for our team to win the game. （このフリースローを決めることは、私たちのチームが試合に勝つために極めて重要です。）
component,構成要素、部品,構成要素、部品、成分,Defense is a key component of a winning basketball team. （守備は勝利するバスケットボールチームの重要な要素です。）
relief,安心、救済,安心、軽減、救済,It was a great relief when our captain scored the final buzzer-beater. （キャプテンが最後のブザービーターを決めたときは大きな安心感がありました。）
considerable,かなりの,かなりの、相当な,He spent a considerable amount of time practicing his free throws before the big game. （彼は大切な試合の前に、フリースローの練習にかなりの時間を費やしました。）
glance,ちらっと見る,チラリと見る、一瞥する,He took a quick glance at the shot clock before shooting. （彼はシュートを打つ前に、ちらりとショットクロックを見た。）
pursue,追求する,～を追求する、～を追跡する、～を続ける,He decided to pursue his dream of becoming a professional basketball player. （彼はプロのバスケットボール選手になるという夢を追い求めることにしました。）
interrupt,さえぎる,～を中断させる、～を邪魔する、～をさえぎる,The coach called a timeout to interrupt the other team's momentum. （コーチは相手チームの勢いを中断させるためにタイムアウトを取りました。）
strike,襲う、打つ,～を打つ、～の心に浮かぶ、～を襲う,We need to strike first in the next quarter to win the basketball game. （バスケットボールの試合に勝つためには、次のクォーターで先制攻撃を仕掛ける必要がある。）
coat,上着、外套,コート、上着、～を覆う,He wore a thick coat after the basketball practice. （彼はバスケットボールの練習後に厚手のコートを着た。）
precious,貴重な,貴重な、大切な、高価な,Winning the championship was a precious memory for our basketball team. （選手権で優勝したことは、私たちのバスケットボールチームにとって貴重な思い出でした。）
thin,うすい,薄い、細い、痩せた,He passed the ball through a thin gap between the defenders. （彼はディフェンダー同士のわずかな隙間にボールを通した。）
responsible,責任がある,責任がある、原因となって,"As the point guard, he is responsible for directing the team's offense. （ポイントガードとして、彼はチームの攻撃を指揮する責任があります。）"
religion,宗教,宗教、信仰,Basketball is almost a religion to the players on our high school team. （私たちの高校のチームの選手たちにとって、バスケットボールはほとんど宗教のようなものです。）
severe,厳しい,厳しい、深刻な、激しい,He suffered a severe injury during the basketball game. （彼はバスケットボールの試合中にひどい怪我を負いました。）
precise,正確な,正確な、精密な、まさにその,His precise pass led to the team's winning shot. （彼の正確なパスがチームの決勝シュートにつながった。）
faith,信仰,信仰、信頼、確信,We never lost faith in our teammates during the tough basketball game. （激しいバスケットボールの試合中、私たちは仲間への信頼を決して失いませんでした。）
virtually,実質上,事実上、実質的に、ほとんど,Winning the basketball game without our captain is virtually impossible. （キャプテンなしでバスケットボールの試合に勝つことは実質的に不可能です。）
feather,羽毛,羽、羽毛,"He made the shot with a soft, feather touch. （彼は羽のように柔らかいタッチでシュートを決めた。）"
convince,確信させる,～を確信させる、～を納得させる、～を説得する,The coach tried to convince the players that they could win the championship. （コーチは選手たちに自分たちが優勝できると納得させようとしました。）
reputation,評判、名声,評判、名声,The basketball team built a reputation for its strong defense. （そのバスケットボールチームは強力な守備で評判を築いた。）
interpret,解釈する、通訳する,解釈する、通訳する,The point guard tried to interpret the opponent's defensive strategy. （ポイントガードは相手チームの守備戦略を読み解こう（解釈しよう）とした。）
institution,施設、制度,機関、制度、施設,This annual basketball tournament is a famous institution in our city. （この毎年のバスケットボール大会は、私たちの街で有名な名物行事です。）
bury,埋める,～を埋める、～を埋葬する、～を隠す,He buried a three-pointer right before the buzzer. （彼はブザーが鳴る直前に3ポイントシュートを沈めました。）
clerk,事務員、社員,事務員、店員、フロント係,The clerk at the sports shop recommended a new pair of basketball shoes to me. （スポーツ店の店員が私に新しいバスケットボールシューズを勧めてくれた。）
commit,犯す、委ねる,～を犯す、～を約束する、～を委ねる,He committed to practicing hard every day for the next basketball match. （彼は次のバスケットボールの試合のために毎日猛練習することを誓いました。）
acknowledge,認める,～を認める、～に感謝する、～を受け取ったことを知らせる,The coach acknowledged the players' hard work after the intense basketball game. （コーチは激しいバスケットボールの試合の後、選手たちの努力を認めました。）
tragedy,悲劇,悲劇、惨事,The star player's injury in the final seconds was a tragedy for the basketball team. （終了間際のスター選手の負傷は、そのバスケットボールチームにとって悲劇だった。）
sake,目的、利益,目的、利益、ため,We practiced hard every day for the sake of winning the tournament. （私たちは大会で勝つために毎日熱心に練習しました。）
internal,内部の,内部の、国内の、体内の,The team needed to resolve their internal conflicts before the big game. （チームは重要な試合の前に内部の対立を解決する必要があった。）
lawn,芝生,芝生、芝生広場,We set up a basketball hoop on the lawn in our backyard. （私たちは裏庭の芝生の上にバスケットボールのゴールを設置しました。）
trial,裁判、試み,試み、裁判、試練,"He failed his first trial for the basketball team, but he never gave up. （彼はバスケットボールチームの最初の選考試験には落ちたが、決してあきらめなかった。）"
dye,染料、染める,～を染める、染料,He dyed his hair red to show his spirit for the basketball tournament. （彼はバスケットボールの大会に向けて気合を示すために髪を赤く染めた。）
sink,沈む,沈む、～を沈める、流し,He managed to sink a three-pointer just before the buzzer. （彼はブザーが鳴る直前に3ポイントシュートを決めた。）
equivalent,等しい,同等の、相当する、相当するもの,A three-point shot in basketball is equivalent to three free throws. （バスケットボールでの3ポイントシュートは、フリースロー3本分と同等です。）
burden,重荷,重荷、負担、～に負担をかける,Carrying the team to the finals was a heavy burden for the captain. （チームを決勝に導くことは、キャプテンにとって重い負担でした。）
suspect,疑う,～ではないかと思う、～を疑う、容疑者,The referee began to suspect that the player was intentionally committing fouls. （審判はその選手が故意にファウルをしているのではないかと疑い始めた。）
withdraw,引き出す,～を撤回する、～を引き出す、退く,The point guard had to withdraw from the tournament due to a knee injury. （そのポイントガードは膝の負傷のためトーナメントから棄権しなければならなかった。）
contrary,反対,反対の、逆の、～に反して,"Contrary to our coach's expectations, we won the basketball tournament. （コーチの予想に反して、私たちはバスケットボールの大会で優勝しました。）"
ethnic,少数民族の、人種の,民族の、民族特有の、異国風の,Players from various ethnic backgrounds play together on the basketball team. （多様な民族的背景を持つ選手たちが、そのバスケットボールチームで一緒にプレーしています。）
blame,とがめる,～を非難する、～のせいにする、責任,Don't blame your teammates for losing the basketball match. （バスケットボールの試合に負けたことをチームメイトのせいにしてはいけません。）
distract,そらす,～の気をそらす、～の注意を散らす、～を紛らす,Don't let the noise of the crowd distract you when taking a free throw. （フリースローを打つときは、観客の歓声に気を散らされないようにしなさい。）
deserve,〜に値する,～に値する、～を受けるに足る,"He practiced harder than anyone else, so he deserved to win the basketball game. （彼は誰よりも猛練習したので、そのバスケットボールの試合で勝つのにふさわしかった。）"
resolve,決める,解決する、決意する、分解する,The team worked together to resolve their defense problems before the final game. （チームは決勝戦の前にディフェンスの問題を解決するために協力した。）
fancy,好み、手の込んだ,高級な、空想する、～を好む,He amazed the crowd with a fancy pass in the basketball game. （彼はバスケットボールの試合で華麗なパスを出して観客を驚かせた。）
band,一隊,帯、楽団、一団,The players wore a black band on their arm to show respect for their former coach. （選手たちは元監督への敬意を表すため、腕に黒いバンドを着用しました。）
sacred,神聖な,神聖な、聖なる、宗教的な,The home court is a sacred place for our basketball team. （私たちのバスケットボールチームにとって、ホームコートは神聖な場所です。）
eager,熱望して,しきりに～したがっている、熱心な,The players were eager to win the final basketball game.（選手たちは最後のバスケットボールの試合に勝つことを熱望していた。）
disorder,混乱,無秩序、混乱、障害,The opponent's defense fell into disorder after our fast break. （私たちのファストブレイクの後、相手チームのディフェンスは混乱に陥りました。）
fellow,やつ、仲間の,仲間、奴、同僚,He encourages his fellow teammates during every basketball game. （彼はすべてのバスケットボールの試合で仲間のチームメイトを励まします。）
bore,うんざりさせる,退屈させる、～に穴をあける、bearの過去形,His long speech bore the players during the basketball meeting. （バスケットボールのミーティング中、彼の長いスピーチは選手たちを退屈させた。）
horrible,恐ろしい,ひどい、恐ろしい、嫌な,We lost the basketball game because of my horrible performance. （私のひどいプレーのせいで、私たちはバスケットボールの試合に敗れた。）
emphasis,強調,強調、重視、主眼,The coach placed strong emphasis on defense during practice. （コーチは練習でディフェンスを重視しました。）
deny,否定する,～を否定する、～を拒む、～を認めない,The center denied the opponent's shot with a massive block. （センターは見事なブロックで相手のシュートを拒んだ。）
acquire,取得する,～を獲得する、～を習得する、～を手に入れる,He practiced every day to acquire a better shooting form. （彼はより良いシュートフォームを習得するために毎日練習しました。）
restore,もとに戻す,～を修復する、～を回復させる、～を戻す,The coach called a timeout to restore calm to the team. （監督はチームに落ち着きを取り戻すためにタイムアウトを取った。）
duty,義務,義務、職務、関税,"As captain, it is my duty to lead the team to victory. （キャプテンとして、チームを勝利に導くことが私の義務です。）"
grateful,感謝している,感謝している、ありがたく思っている,I am grateful to my teammates for supporting me during the basketball game. （バスケットボールの試合中、私を支えてくれたチームメイトに感謝しています。）
abandon,やめる、見捨てる,～を捨てる、～を諦める、～を放棄する,They never abandoned their hope of winning the basketball game. （彼らはバスケットボールの試合に勝つ希望を諦めなかった。）
accompany,〜と同行する、伴う,～に同行する、～に伴う、～に添える,My coach will accompany the basketball team to the national tournament. （コーチが全国大会へバスケットボールチームに同行します。）
folk,人々、民俗,人々、民間の、親（folks）,Many local folks came to cheer for our basketball team. （地元の多くの人々が私たちのバスケットボールチームを応援しに来ました。）
fur,毛皮,毛皮、柔らかい体毛,The basketball team's mascot is covered in soft fur. （そのバスケットボールチームのマスコットは柔らかい毛で覆われています。）
owe,〜に借りがある,借りがある、～のおかげである、負っている,We owe our victory in today's basketball game to our team captain. （私たちは今日のバスケットボールの試合での勝利をチームキャプテンのおかげだと思っています。）
convey,運ぶ、伝える,～を伝える、～を運ぶ,The coach used hand signals to convey the strategy to the players on the court. （コーチはコート上の選手たちに作戦を伝えるために手信号を使った。）
occupy,占領する,占める、占領する、従事させる,The center tried to occupy the space under the basket to get the rebound. （センターの選手はリバウンドを取るためにゴール下のスペースを確保しようとしました。）
concrete,具体的な,具体的な、明確な、コンクリート,The coach gave us concrete advice on how to improve our defense. （コーチは私たちの守備を改善するための具体的なアドバイスをくれました。）
hire,雇う、借りる,～を雇う、～を借りる,The team decided to hire a new professional coach to improve their defense. （チームは守備を改善するために新しいプロコーチを雇うことにした。）
sufficient,十分な,十分な、足りがちの、適当な,Ten minutes was sufficient time for us to warm up before the basketball match. （バスケットボールの試合前にウォーミングアップをするには10分で十分な時間でした。）
wage,賃金,賃金、給料,Professional basketball players earn high wages. （プロバスケットボール選手は高い賃金を得ています。）
discipline,訓練、しつけ,規律、しつけ、学問分野,Strict discipline is necessary for a basketball team to win the championship. （バスケットボールチームが優勝するには厳しい規律が必要です。）
depression,不景気、意気消沈,憂鬱、不況、抑うつ,He fell into a temporary depression after missing the winning shot. （彼は決勝シュートを外した後、一時的な落ち込みに陥った。）
contract,契約する,契約する、収縮する、（病気に）かかる,He signed a professional contract with a local basketball team. （彼は地元のバスケットボールチームとプロ契約を結びました。）
executive,管理職,役員、幹部、実行の権利を有する,The basketball club executive organized the summer training camp. （バスケットボール部の幹部が夏合宿を企画しました。）
coal,石炭,石炭,The basketball coach motivated the team by saying their passion must burn like coal. （バスケットボールのコーチは、チームの情熱は石炭のように燃え上がらなければならないと言って選手たちを鼓舞した。）
seed,種をまく,種、種子、原因,Our basketball team secured the top seed in the regional tournament. （私たちのバスケットボールチームは地区大会で第1シードを獲得しました。）
guarantee,保証,～を保証する、保証、保証書,The coach's strategy will guarantee our victory in the basketball tournament. （コーチの戦略は、バスケットボールの大会での私たちの勝利を保証するでしょう。）
ultimate,最終の、究極の,究極の、最終の、根本的な,Winning the national championship is the ultimate goal for our basketball team. （全国大会で優勝することが、私たちのバスケットボールチームの最終目標です。）
approve,是認する、賛成する,～を承認する、～に賛成する、～をよいと認める,The coach approved our new tactic for the next basketball game. （監督は次のバスケットボールの試合のための私たちの新しい戦術を承認しました。）
interfere,干渉する,邪魔をする、干渉する、妨げる,Loud noise from the crowd can interfere with a player's concentration during a free throw. （観客からの大きな雑音は、フリースロー中の選手の集中力を妨げることがあります。）
insurance,保険、保証,保険、保険金、保護手段,He scored an insurance basket to secure our team's victory in the last minute. （彼は最後の1分でチームの勝利を確実にする保険のゴールを決めた。）
leap,跳ねる,跳ぶ、跳躍する、急増する,He leaped high into the air to grab the rebound. （彼はリバウンドを取るために高く跳び上がりました。）
classify,分類する,～を分類する、～を級分けする,The coach classified the players into two teams for the practice match. （コーチは練習試合のために選手たちを2つのチームに分類しました。）
impose,課す,～を課す、～を押しつける、～を導入する,The coach decided to impose strict practice rules on the basketball team. （コーチはバスケットボールチームに厳しい練習ルールを課すことに決めました。）
load,積む,荷物、重荷、～に荷を積む,The coach decided to reduce the practice load before the big basketball game. （コーチは大きなバスケットボールの試合の前に練習の負荷を減らすことに決めました。）
